id,title,level,date,solved_by,attempt_time,
1873,Calculate Special Bonus,Easy,2025-03-08,Self,
196,Delete Duplicate Emails,Easy,2025-03-08,Self,
183,Customers Who Never Order,Easy,2025-03-08,Self,
1667,Fix Names in a Table,Easy,2025-03-08,Self,
627,Swap Salary,Easy,2025-03-08,Self,
1652,Defuse the Bomb,Easy,2025-04-10,Self,
197,Rising Temperature,Easy,2025-04-10,AI,
1484,Group Sold Products By The Date,Easy,2025-04-10,Self,
1527,Patients With a Condition,Easy,2025-04-10,Self,
1534,Count Good Triplets,Easy,2025-04-11,Self,
1922,Count Good Numbers,Medium,2025-04-11,AI,
1757,Recyclable and Low Fat Products,Easy,2025-04-11,Self,
1148,Article Views I,Easy,2025-04-11,Self,
2843,Count Symmetric Integers,Easy,2025-04-11,Self,
1378,Replace Employee ID With The Unique Identifier,Easy,2025-04-12,Self,
1068,Product Sales Analysis I,Easy,2025-04-12,Self,
1581,Customer Who Visited but Did Not Make Any Transactions,Easy,2025-04-12,Self,
584,Find Customer Referee,Easy,2025-04-12,Self,
595,Big Countries,Easy,2025-04-12,AI,
2179,Count Good Triplets in an Array,Hard,2025-04-12,AI,
1683,Invalid Tweets,Easy,2025-04-12,Self,
2537,Count the Number of Good Subarrays,Medium,2025-04-13,Self,
38,Count and Say,Medium,2025-04-18,AI, 
2597,The Number of Fair Pairs,Medium,2025-04-13,AI, 
781,Rabbits in Forest,Medium,2025-04-19,AI,
3179,Count Good Integers,Hard,2025-04-20,AI,
1661,Average Time of Process per Machine,Easy,2025-04-20,Self,
557,Employee Bonus,Easy,2025-04-20,Self, 
1280,Students and Examinations,Easy,2025-04-21,AI, 
2145,Count The Hidden Sequences,Medium,2025-04-21,AI,
602,Manager With At Least 5 Direct Reports,Medium,2025-04-21,Self, 
1934,Confirmation Rate,Medium,2025-04-22,Self,40, 
630,Not Boring Movies,Easy,2025-04-22,Self,12, 
1251,Average Selling Price,Easy,2025-04-22,AI,
2338,Count The Number Of Ideal Arrays,Hard,2025-04-22,AI, 
1075,Project Employees I,Easy,2025-04-22,Self, 
1399,Count Largest Group,Easy,2025-04-23,AI, 
1633,Percentage of Users Attended a Contest,Easy,2025-04-23,Self,45, 
1211,Queries Quality and Percentage,Easy,2025-04-24,Self,36, 
1193,Monthly Transactions I,Medium,2025-04-24,Self,13, 
2845,Count of Interesting Subarrays,Medium,2025-04-25,AI,
2799,Count Complete Subarrays in an Array,Medium,2025-04-25,AI,
1174,Immediate Food Delivery II,Medium,2025-04-25,Self,65, 
550,Game Play Analysis IV,Medium,2025-04-25,Self,28, 
1141,User Activity for the Past 30 Days I,Easy,2025-04-26,Self,9, 
2444,Count Subarrays With Fixed Bounds,Hard,2025-04-26,AI, 
1070,Product Sales Analysis III,Medium,2025-04-26,Self,11, 
596,Classes More Than 5 Student,Easy,2025-04-26,Self,3, 
1729,Find Followers Count,Easy,2025-04-26,Self,2, 
619,Biggest Single Number,2025-04-26,Self,5, 
